epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10227,3.75312,4.94838,4.74773,0,0,0,0,2.75418,5.6581,4.15919,0,0,0
2,5.51608,3.87838,4.9597,4.74655,0,0,0,0,2.75437,5.65819,4.15949,4.73926e-06,4.73926e-06,4.73926e-06
3,8.01504,4.35492,4.96729,4.49626,0,0,0,0,2.75456,5.65805,4.15979,8.43704e-06,8.43704e-06,8.43704e-06
4,10.2691,3.79506,4.90598,4.61913,0,0,0,0,2.75476,5.65782,4.16009,1.10933e-05,1.10933e-05,1.10933e-05
5,12.4723,3.99176,5.02577,4.21721,0,0,0,0,2.75499,5.65796,4.1604,1.27082e-05,1.27082e-05,1.27082e-05
6,14.7168,3.81754,5.0871,4.63705,0,0,0,0,2.75523,5.65794,4.16069,1.32815e-05,1.32815e-05,1.32815e-05
7,17.0884,4.48822,4.87612,4.43632,0,0,0,0,2.75548,5.65826,4.16097,1.28134e-05,1.28134e-05,1.28134e-05
8,19.2877,4.21679,4.96936,4.22357,0,0,0,0,2.75573,5.65851,4.16126,1.13037e-05,1.13037e-05,1.13037e-05
9,21.4846,4.39166,4.95471,4.6047,0,0,0,0,2.75596,5.65855,4.16152,8.75264e-06,8.75264e-06,8.75264e-06
10,23.9506,4.50145,4.99108,4.57639,0,0,0,0,2.7562,5.65853,4.16179,5.16006e-06,5.16006e-06,5.16006e-06
