epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86302,2.37362,9.80792,0.75035,4.38329,4.25905,0.00583,0.5,0.0167,0.00515,0,0,0,0,3.36214,11.0997,0.69418,3.77172,4.15884,0,0,0
2,5.19509,3.26097,9.94983,0.74948,4.1671,4.30636,0.00583,0.5,0.0237,0.0074,0,0,0,0,3.36227,11.0997,0.69419,3.77182,4.15878,1.802e-05,1.802e-05,1.802e-05
3,7.91832,3.43178,10.4419,0.80793,4.47099,4.23695,0.00583,0.5,0.04944,0.00799,0,0,0,0,3.36242,11.0997,0.69422,3.77196,4.15871,3.208e-05,3.208e-05,3.208e-05
4,10.2589,3.17433,10.1173,0.77438,4.21965,4.33925,0.00583,0.5,0.01609,0.00529,0,0,0,0,3.37108,11.1093,0.69427,3.77425,4.15864,4.218e-05,4.218e-05,4.218e-05
5,12.5005,2.6828,10.0533,0.78508,4.17026,4.34867,0.00583,0.5,0.01329,0.00451,0,0,0,0,3.37123,11.1093,0.69429,3.77433,4.15857,4.832e-05,4.832e-05,4.832e-05
6,14.6735,4.20286,10.312,0.77498,4.77491,4.41012,0.00583,0.5,0.01502,0.00534,0,0,0,0,3.37139,11.1093,0.69431,3.77446,4.15851,5.05e-05,5.05e-05,5.05e-05
7,16.972,3.25591,9.93156,0.77753,4.22164,4.22309,0.00583,0.5,0.0167,0.00621,0,0,0,0,3.37155,11.1092,0.69433,3.77443,4.15845,4.872e-05,4.872e-05,4.872e-05
8,19.1405,3.20561,10.5789,0.82788,4.08153,4.27102,0.00583,0.5,0.04671,0.01209,0,0,0,0,3.37172,11.1092,0.69436,3.77456,4.1584,4.298e-05,4.298e-05,4.298e-05
9,21.6124,3.67233,10.3523,0.75988,4.21608,4.33543,0.00583,0.5,0.01532,0.00512,0,0,0,0,3.37188,11.1059,0.69438,3.77468,4.15824,3.328e-05,3.328e-05,3.328e-05
10,24.1215,3.54915,10.1379,0.73052,4.48113,4.35165,0.00583,0.5,0.02882,0.00679,0,0,0,0,3.37204,11.1059,0.69441,3.77479,4.15819,1.962e-05,1.962e-05,1.962e-05
